TimePeriod,,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean,Indicator,IndicatorID
Annual Average 2022,,410,3,Rockaways,10.4,12.3,11.4,NO2,375
Annual Average 2022,,305307,3,Upper East Side-Gramercy,17.3,25.4,20.7,NO2,375
Annual Average 2022,,306308,3,Chelsea-Village  ,19.2,26.4,22.1,NO2,375
Annual Average 2022,,309310,3,Union Square-Lower Manhattan,16.1,21.7,18.9,NO2,375
Annual Average 2022,,404406,3,Bayside Little Neck-Fresh Meadows,13.6,16.3,14.8,NO2,375
Annual Average 2022,,501502,3,Northern SI,11.9,14.3,13.2,NO2,375
Annual Average 2022,,503504,3,Southern SI,8.1,12.7,10.4,NO2,375
Annual Average 2022,,105106107,3,South Bronx,15.9,19.3,17.3,NO2,375
Annual Average 2022,,1,1,Bronx,14.1,18.1,16,NO2,375
Annual Average 2022,,2,1,Brooklyn,12.9,18.5,15.4,NO2,375
Annual Average 2022,,3,1,Manhattan,16,23.3,19.1,NO2,375
Annual Average 2022,,4,1,Queens,13.1,17.2,14.9,NO2,375
Annual Average 2022,,5,1,Staten Island,8.4,13.9,11.2,NO2,375
Annual Average 2022,,1,0,New York City,10.8,18.1,14.7,NO2,375
Summer 2022,,101,6,Financial District (CD1),14.9,18.6,16.9,NO2,375
Summer 2022,,102,6,Greenwich Village and Soho (CD2),15.1,17.4,16.4,NO2,375
Summer 2022,,103,6,Lower East Side and Chinatown (CD3),11.3,16,13.6,NO2,375
Summer 2022,,104,6,Clinton and Chelsea (CD4),14.7,21.2,17.8,NO2,375
Summer 2022,,105,6,Midtown (CD5),18.9,25.1,22.5,NO2,375
Summer 2022,,106,6,Stuyvesant Town and Turtle Bay (CD6),13.2,21.8,17.5,NO2,375
Summer 2022,,107,6,Upper West Side (CD7),13.3,16.2,14.7,NO2,375
Summer 2022,,108,6,Upper East Side (CD8),12.4,17.8,15.3,NO2,375
Summer 2022,,109,6,Morningside Heights and Hamilton Heights (CD9),12.8,13.9,13.3,NO2,375
Summer 2022,,110,6,Central Harlem (CD10),12.7,13.8,13.1,NO2,375
Summer 2022,,111,6,East Harlem (CD11),12,13.8,13,NO2,375
Summer 2022,,112,6,Washington Heights and Inwood (CD12),10.2,19.8,13.6,NO2,375
Summer 2022,,201,6,Mott Haven and Melrose (CD1),12.2,16,14,NO2,375
Summer 2022,,202,6,Hunts Point and Longwood (CD2),12.7,15.7,14.2,NO2,375
Summer 2022,,203,6,Morrisania and Crotona (CD3),12.3,14.4,13.1,NO2,375
Summer 2022,,204,6,Highbridge and Concourse (CD4),12.4,15.8,13.7,NO2,375
Summer 2022,,205,6,Fordham and University Heights (CD5),12.4,15.8,13.7,NO2,375
Summer 2022,,206,6,Belmont and East Tremont (CD6),11.1,14.8,13,NO2,375
Summer 2022,,207,6,Kingsbridge Heights and Bedford (CD7),11.2,13,12.1,NO2,375
Summer 2022,,208,6,Riverdale and Fieldston (CD8),9.2,12.6,10.6,NO2,375
Summer 2022,,209,6,Parkchester and Soundview (CD9),10.3,14.5,12.4,NO2,375
Summer 2022,,210,6,Throgs Neck and Co-op City (CD10),9.3,13.6,11.7,NO2,375
Summer 2022,,211,6,Morris Park and Bronxdale (CD11),10.9,12.8,11.5,NO2,375
