TimePeriod,,GeoID,GeoRank,Geography,10th percentile mcg/m3,90th percentile mcg/m3,Mean,Indicator,IndicatorID
Summer 2012,,407,6,Flushing and Whitestone (CD7),9.6,11,10.1,PM 2.5,365
Summer 2012,,408,6,Hillcrest and Fresh Meadows (CD8),9.6,10.3,9.9,PM 2.5,365
Summer 2012,,409,6,Kew Gardens and Woodhaven (CD9),9.7,10.6,10.1,PM 2.5,365
Summer 2012,,410,6,South Ozone Park and Howard Beach (CD10),9.4,10.2,9.7,PM 2.5,365
Summer 2012,,411,6,Bayside and Little Neck (CD11),9.4,10.5,9.8,PM 2.5,365
Summer 2012,,412,6,Jamaica and Hollis (CD12),9.6,10.5,10,PM 2.5,365
Summer 2012,,413,6,Queens Village (CD13),9.4,10,9.6,PM 2.5,365
Summer 2012,,414,6,Rockaway and Broad Channel (CD14),9.3,9.5,9.4,PM 2.5,365
Summer 2012,,501,6,St. George and Stapleton (CD1),9.7,10.4,10,PM 2.5,365
Summer 2012,,502,6,South Beach and Willowbrook (CD2),9.5,10.7,10,PM 2.5,365
Summer 2012,,503,6,Tottenville and Great Kills (CD3),9.6,10.2,9.8,PM 2.5,365
Summer 2012,,1,1,Bronx,9.8,11.4,10.5,PM 2.5,365
Summer 2012,,2,1,Brooklyn,9.7,11.5,10.4,PM 2.5,365
Summer 2012,,3,1,Manhattan,10.5,13.9,11.8,PM 2.5,365
Summer 2012,,4,1,Queens,9.4,10.8,10.1,PM 2.5,365
Summer 2012,,5,1,Staten Island,9.6,10.4,9.9,PM 2.5,365
Summer 2012,,1,0,New York City,9.5,11.4,10.3,PM 2.5,365
Winter 2011,12,101,6,Financial District (CD1),11,12.1,11.6,PM 2.5,365
Winter 2011,12,102,6,Greenwich Village and Soho (CD2),10.2,11.8,11.2,PM 2.5,365
Winter 2011,12,103,6,Lower East Side and Chinatown (CD3),9.2,11.6,10.3,PM 2.5,365
Winter 2011,12,104,6,Clinton and Chelsea (CD4),9.9,13,11.5,PM 2.5,365
Winter 2011,12,105,6,Midtown (CD5),12.8,15.4,14.2,PM 2.5,365
Winter 2011,12,106,6,Stuyvesant Town and Turtle Bay (CD6),10.2,14,12.2,PM 2.5,365
Winter 2011,12,107,6,Upper West Side (CD7),10.3,11.2,10.8,PM 2.5,365
Winter 2011,12,108,6,Upper East Side (CD8),10,12.2,11.3,PM 2.5,365
Winter 2011,12,109,6,Morningside Heights and Hamilton Heights (CD9),10.7,11.2,11,PM 2.5,365
Winter 2011,12,110,6,Central Harlem (CD10),10.6,11.1,10.8,PM 2.5,365
Winter 2011,12,111,6,East Harlem (CD11),10.2,10.8,10.6,PM 2.5,365
Winter 2011,12,112,6,Washington Heights and Inwood (CD12),10.2,12,11,PM 2.5,365
Winter 2011,12,201,6,Mott Haven and Melrose (CD1),10.6,11.8,11.2,PM 2.5,365
Winter 2011,12,202,6,Hunts Point and Longwood (CD2),9.4,12.1,10.9,PM 2.5,365
Winter 2011,12,203,6,Morrisania and Crotona (CD3),10.3,11.1,10.7,PM 2.5,365
Winter 2011,12,204,6,Highbridge and Concourse (CD4),11.1,11.9,11.4,PM 2.5,365
Winter 2011,12,205,6,Fordham and University Heights (CD5),10.9,12.1,11.4,PM 2.5,365
Winter 2011,12,206,6,Belmont and East Tremont (CD6),10,11.4,10.6,PM 2.5,365
Winter 2011,12,207,6,Kingsbridge Heights and Bedford (CD7),9.8,11.1,10.4,PM 2.5,365
Winter 2011,12,208,6,Riverdale and Fieldston (CD8),9.2,10.7,9.9,PM 2.5,365
Winter 2011,12,209,6,Parkchester and Soundview (CD9),9,10.7,9.9,PM 2.5,365
Winter 2011,12,210,6,Throgs Neck and Co-op City (CD10),7.9,10,9.1,PM 2.5,365
Winter 2011,12,211,6,Morris Park and Bronxdale (CD11),8.8,9.7,9.3,PM 2.5,365
Winter 2011,12,212,6,Williamsbridge and Baychester (CD12),8.5,9.5,8.9,PM 2.5,365
Winter 2011,12,301,6,Greenpoint and Williamsburg (CD1),9.8,11.5,10.5,PM 2.5,365
Winter 2011,12,302,6,Fort Greene and Brooklyn Heights (CD2),9.8,11.1,10.4,PM 2.5,365
Winter 2011,12,303,6,Bedford Stuyvesant (CD3),9,10.1,9.5,PM 2.5,365
Winter 2011,12,304,6,Bushwick (CD4),8.7,10.4,9.3,PM 2.5,365
Winter 2011,12,305,6,East New York and Starrett City (CD5),8.2,10.1,9,PM 2.5,365
Winter 2011,12,306,6,Park Slope and Carroll Gardens (CD6),9.6,11.4,10.5,PM 2.5,365
Winter 2011,12,307,6,Sunset Park (CD7),9.2,11.2,10.2,PM 2.5,365
Winter 2011,12,308,6,Crown Heights and Prospect Heights (CD8),9.2,10,9.6,PM 2.5,365
Winter 2011,12,309,6,South Crown Heights and Lefferts Gardens (CD9),9.2,9.7,9.5,PM 2.5,365
Winter 2011,12,310,6,Bay Ridge and Dyker Heights (CD10),8.4,9.8,9,PM 2.5,365
Winter 2011,12,311,6,Bensonhurst (CD11),8.2,8.9,8.6,PM 2.5,365
Winter 2011,12,312,6,Borough Park (CD12),8.8,9.5,9.2,PM 2.5,365
Winter 2011,12,313,6,Coney Island (CD13),7.5,8.2,7.9,PM 2.5,365
Winter 2011,12,314,6,Flatbush and Midwood (CD14),8.7,9.8,9.2,PM 2.5,365
Winter 2011,12,315,6,Sheepshead Bay (CD15),7.4,8.6,8,PM 2.5,365
Winter 2011,12,316,6,Brownsville (CD16),9,10.2,9.4,PM 2.5,365
Winter 2011,12,317,6,East Flatbush (CD17),9,9.9,9.3,PM 2.5,365
Winter 2011,12,318,6,Flatlands and Canarsie (CD18),7.4,9.3,8.3,PM 2.5,365
Winter 2011,12,401,6,Long Island City and Astoria (CD1),8.8,9.8,9.4,PM 2.5,365
Winter 2011,12,402,6,Woodside and Sunnyside (CD2),9.2,11.6,10.3,PM 2.5,365
Winter 2011,12,403,6,Jackson Heights (CD3),8.7,9.3,9,PM 2.5,365
Winter 2011,12,404,6,Elmhurst and Corona (CD4),9,9.9,9.3,PM 2.5,365
Winter 2011,12,405,6,Ridgewood and Maspeth (CD5),8.3,10.7,9.2,PM 2.5,365
Winter 2011,12,406,6,Rego Park and Forest Hills (CD6),8.7,9.9,9.2,PM 2.5,365
Winter 2011,12,407,6,Flushing and Whitestone (CD7),8.7,10.1,9.3,PM 2.5,365
Winter 2011,12,408,6,Hillcrest and Fresh Meadows (CD8),8.8,9.4,9,PM 2.5,365
Winter 2011,12,409,6,Kew Gardens and Woodhaven (CD9),8.4,9.4,8.8,PM 2.5,365
Winter 2011,12,410,6,South Ozone Park and Howard Beach (CD10),7.7,8.7,8.2,PM 2.5,365
Winter 2011,12,411,6,Bayside and Little Neck (CD11),8.5,9.6,8.9,PM 2.5,365
Winter 2011,12,412,6,Jamaica and Hollis (CD12),8.3,9.4,8.8,PM 2.5,365
Winter 2011,12,413,6,Queens Village (CD13),7.8,8.7,8.3,PM 2.5,365
Winter 2011,12,414,6,Rockaway and Broad Channel (CD14),6.6,6.9,6.7,PM 2.5,365
Winter 2011,12,501,6,St. George and Stapleton (CD1),8,8.9,8.4,PM 2.5,365
Winter 2011,12,502,6,South Beach and Willowbrook (CD2),7.6,9.2,8.2,PM 2.5,365
Winter 2011,12,503,6,Tottenville and Great Kills (CD3),7.7,9.6,8.6,PM 2.5,365
Winter 2011,12,1,1,Bronx,8.7,11.3,9.9,PM 2.5,365
Winter 2011,12,2,1,Brooklyn,7.9,10.5,9.2,PM 2.5,365
Winter 2011,12,3,1,Manhattan,10.1,13,11.3,PM 2.5,365
Winter 2011,12,4,1,Queens,7.8,9.8,8.8,PM 2.5,365
Winter 2011,12,5,1,Staten Island,7.6,9.3,8.4,PM 2.5,365
Winter 2011,12,1,0,New York City,7.9,10.9,9.2,PM 2.5,365
Annual Average 2011,,101,6,Financial District (CD1),11.8,12.7,12.3,PM 2.5,365
Annual Average 2011,,102,6,Greenwich Village and Soho (CD2),11.2,12.6,12.1,PM 2.5,365
Annual Average 2011,,103,6,Lower East Side and Chinatown (CD3),10.3,12.4,11.3,PM 2.5,365
Annual Average 2011,,104,6,Clinton and Chelsea (CD4),11,13.8,12.4,PM 2.5,365
Annual Average 2011,,105,6,Midtown (CD5),13.6,15.9,14.8,PM 2.5,365
Annual Average 2011,,106,6,Stuyvesant Town and Turtle Bay (CD6),11.3,14.7,13.1,PM 2.5,365
Annual Average 2011,,107,6,Upper West Side (CD7),11.1,11.7,11.5,PM 2.5,365
Annual Average 2011,,108,6,Upper East Side (CD8),11,13,12.1,PM 2.5,365
Annual Average 2011,,109,6,Morningside Heights and Hamilton Heights (CD9),10.9,11.5,11.2,PM 2.5,365
Annual Average 2011,,110,6,Central Harlem (CD10),10.9,11.3,11.1,PM 2.5,365
Annual Average 2011,,111,6,East Harlem (CD11),10.8,11.4,11.1,PM 2.5,365
Annual Average 2011,,112,6,Washington Heights and Inwood (CD12),10.5,12.1,11.1,PM 2.5,365
Annual Average 2011,,201,6,Mott Haven and Melrose (CD1),11,12.3,11.6,PM 2.5,365
Annual Average 2011,,202,6,Hunts Point and Longwood (CD2),10.1,12.6,11.5,PM 2.5,365
Annual Average 2011,,203,6,Morrisania and Crotona (CD3),10.8,11.5,11.1,PM 2.5,365
Annual Average 2011,,204,6,Highbridge and Concourse (CD4),11.3,12.1,11.6,PM 2.5,365
Annual Average 2011,,205,6,Fordham and University Heights (CD5),11.3,12.3,11.7,PM 2.5,365
Annual Average 2011,,206,6,Belmont and East Tremont (CD6),10.6,11.9,11.2,PM 2.5,365
Annual Average 2011,,207,6,Kingsbridge Heights and Bedford (CD7),10.7,11.6,11.1,PM 2.5,365
Annual Average 2011,,208,6,Riverdale and Fieldston (CD8),10.2,11.4,10.6,PM 2.5,365
Annual Average 2011,,209,6,Parkchester and Soundview (CD9),9.8,11.5,10.7,PM 2.5,365
Annual Average 2011,,210,6,Throgs Neck and Co-op City (CD10),9.6,11.4,10.4,PM 2.5,365
Annual Average 2011,,211,6,Morris Park and Bronxdale (CD11),10.2,10.7,10.4,PM 2.5,365
Annual Average 2011,,212,6,Williamsbridge and Baychester (CD12),10.1,10.9,10.4,PM 2.5,365
Annual Average 2011,,301,6,Greenpoint and Williamsburg (CD1),10.9,12.6,11.6,PM 2.5,365
Annual Average 2011,,302,6,Fort Greene and Brooklyn Heights (CD2),10.5,11.9,11.1,PM 2.5,365
Annual Average 2011,,303,6,Bedford Stuyvesant (CD3),9.9,10.9,10.4,PM 2.5,365
Annual Average 2011,,304,6,Bushwick (CD4),9.7,11.4,10.3,PM 2.5,365
Annual Average 2011,,305,6,East New York and Starrett City (CD5),9.3,11.2,10,PM 2.5,365
Annual Average 2011,,306,6,Park Slope and Carroll Gardens (CD6),10.3,12.1,11.1,PM 2.5,365
Annual Average 2011,,307,6,Sunset Park (CD7),10,11.9,10.9,PM 2.5,365
Annual Average 2011,,308,6,Crown Heights and Prospect Heights (CD8),10,10.7,10.4,PM 2.5,365
Annual Average 2011,,309,6,South Crown Heights and Lefferts Gardens (CD9),10,10.4,10.2,PM 2.5,365
Annual Average 2011,,310,6,Bay Ridge and Dyker Heights (CD10),9.6,10.7,10,PM 2.5,365
Annual Average 2011,,311,6,Bensonhurst (CD11),9.5,10,9.7,PM 2.5,365
Annual Average 2011,,312,6,Borough Park (CD12),9.8,10.3,10.1,PM 2.5,365
Annual Average 2011,,313,6,Coney Island (CD13),9.1,9.7,9.4,PM 2.5,365
Annual Average 2011,,314,6,Flatbush and Midwood (CD14),9.7,10.5,10.1,PM 2.5,365
Annual Average 2011,,315,6,Sheepshead Bay (CD15),9,9.9,9.5,PM 2.5,365
Annual Average 2011,,316,6,Brownsville (CD16),9.9,11.2,10.3,PM 2.5,365
Annual Average 2011,,317,6,East Flatbush (CD17),9.9,10.7,10.2,PM 2.5,365
Annual Average 2011,,318,6,Flatlands and Canarsie (CD18),8.9,10.4,9.5,PM 2.5,365
Annual Average 2011,,401,6,Long Island City and Astoria (CD1),9.6,11,10.4,PM 2.5,365
Annual Average 2011,,402,6,Woodside and Sunnyside (CD2),10.4,12.8,11.5,PM 2.5,365
Annual Average 2011,,403,6,Jackson Heights (CD3),9.6,10.2,9.9,PM 2.5,365
Annual Average 2011,,404,6,Elmhurst and Corona (CD4),9.9,10.9,10.3,PM 2.5,365
Annual Average 2011,,405,6,Ridgewood and Maspeth (CD5),9.4,11.8,10.2,PM 2.5,365
Annual Average 2011,,406,6,Rego Park and Forest Hills (CD6),9.6,10.8,10.1,PM 2.5,365
Annual Average 2011,,407,6,Flushing and Whitestone (CD7),9.5,11,10.1,PM 2.5,365
Annual Average 2011,,408,6,Hillcrest and Fresh Meadows (CD8),9.4,10.1,9.7,PM 2.5,365
Annual Average 2011,,409,6,Kew Gardens and Woodhaven (CD9),9.3,10.3,9.7,PM 2.5,365
Annual Average 2011,,410,6,South Ozone Park and Howard Beach (CD10),8.8,9.7,9.2,PM 2.5,365
Annual Average 2011,,411,6,Bayside and Little Neck (CD11),9.3,10.3,9.7,PM 2.5,365
Annual Average 2011,,412,6,Jamaica and Hollis (CD12),9.1,10.1,9.5,PM 2.5,365
Annual Average 2011,,413,6,Queens Village (CD13),8.8,9.5,9.2,PM 2.5,365
Annual Average 2011,,414,6,Rockaway and Broad Channel (CD14),8.3,8.5,8.4,PM 2.5,365
Annual Average 2011,,501,6,St. George and Stapleton (CD1),9.2,10,9.6,PM 2.5,365
Annual Average 2011,,502,6,South Beach and Willowbrook (CD2),9,10.2,9.5,PM 2.5,365
Annual Average 2011,,503,6,Tottenville and Great Kills (CD3),9,9.8,9.3,PM 2.5,365
Annual Average 2011,,1,1,Bronx,10.1,11.7,10.8,PM 2.5,365
Annual Average 2011,,2,1,Brooklyn,9.2,11.4,10.2,PM 2.5,365
Annual Average 2011,,3,1,Manhattan,10.8,13.8,11.9,PM 2.5,365
Annual Average 2011,,4,1,Queens,8.9,10.7,9.8,PM 2.5,365
Annual Average 2011,,5,1,Staten Island,9,10,9.4,PM 2.5,365
Annual Average 2011,,1,0,New York City,9.1,11.5,10.1,PM 2.5,365
Summer 2011,,101,6,Financial District (CD1),12.8,13.6,13.2,PM 2.5,365
Summer 2011,,102,6,Greenwich Village and Soho (CD2),12.4,13.6,13.2,PM 2.5,365
Summer 2011,,103,6,Lower East Side and Chinatown (CD3),11.5,13.5,12.4,PM 2.5,365
Summer 2011,,104,6,Clinton and Chelsea (CD4),12.2,14.8,13.5,PM 2.5,365
Summer 2011,,105,6,Midtown (CD5),14.5,16.6,15.6,PM 2.5,365
Summer 2011,,106,6,Stuyvesant Town and Turtle Bay (CD6),12.5,15.5,14.1,PM 2.5,365
Summer 2011,,107,6,Upper West Side (CD7),12.1,12.8,12.5,PM 2.5,365
Summer 2011,,108,6,Upper East Side (CD8),12.2,14,13.1,PM 2.5,365
Summer 2011,,109,6,Morningside Heights and Hamilton Heights (CD9),11.7,12.3,12,PM 2.5,365
Summer 2011,,110,6,Central Harlem (CD10),11.7,12.1,11.9,PM 2.5,365
Summer 2011,,111,6,East Harlem (CD11),11.8,12.4,12.1,PM 2.5,365
Summer 2011,,112,6,Washington Heights and Inwood (CD12),11.1,12.6,11.7,PM 2.5,365
Summer 2011,,201,6,Mott Haven and Melrose (CD1),11.8,13.3,12.5,PM 2.5,365
Summer 2011,,202,6,Hunts Point and Longwood (CD2),11.1,13.6,12.4,PM 2.5,365
Summer 2011,,203,6,Morrisania and Crotona (CD3),11.5,12.2,11.8,PM 2.5,365
Summer 2011,,204,6,Highbridge and Concourse (CD4),11.9,12.7,12.2,PM 2.5,365
Summer 2011,,205,6,Fordham and University Heights (CD5),11.9,12.9,12.3,PM 2.5,365
Summer 2011,,206,6,Belmont and East Tremont (CD6),11.4,12.6,11.9,PM 2.5,365
Summer 2011,,207,6,Kingsbridge Heights and Bedford (CD7),11.4,12.1,11.7,PM 2.5,365
Summer 2011,,208,6,Riverdale and Fieldston (CD8),10.8,12,11.3,PM 2.5,365
Summer 2011,,209,6,Parkchester and Soundview (CD9),10.8,12.3,11.6,PM 2.5,365
Summer 2011,,210,6,Throgs Neck and Co-op City (CD10),10.7,12.4,11.4,PM 2.5,365
Summer 2011,,211,6,Morris Park and Bronxdale (CD11),11.1,11.6,11.3,PM 2.5,365
Summer 2011,,212,6,Williamsbridge and Baychester (CD12),11,11.9,11.3,PM 2.5,365
Summer 2011,,301,6,Greenpoint and Williamsburg (CD1),12.1,13.9,12.9,PM 2.5,365
Summer 2011,,302,6,Fort Greene and Brooklyn Heights (CD2),11.7,13,12.2,PM 2.5,365
Summer 2011,,303,6,Bedford Stuyvesant (CD3),11.2,12.1,11.6,PM 2.5,365
Summer 2011,,304,6,Bushwick (CD4),11.1,12.7,11.6,PM 2.5,365
Summer 2011,,305,6,East New York and Starrett City (CD5),10.8,12.7,11.5,PM 2.5,365
Summer 2011,,306,6,Park Slope and Carroll Gardens (CD6),11.5,13.2,12.2,PM 2.5,365
Summer 2011,,307,6,Sunset Park (CD7),11.1,13.1,12.1,PM 2.5,365
Summer 2011,,308,6,Crown Heights and Prospect Heights (CD8),11.3,11.8,11.5,PM 2.5,365
Summer 2011,,309,6,South Crown Heights and Lefferts Gardens (CD9),11.2,11.6,11.4,PM 2.5,365
Summer 2011,,310,6,Bay Ridge and Dyker Heights (CD10),10.9,12,11.3,PM 2.5,365
Summer 2011,,311,6,Bensonhurst (CD11),11,11.3,11.1,PM 2.5,365
Summer 2011,,312,6,Borough Park (CD12),11.2,11.5,11.3,PM 2.5,365
Summer 2011,,313,6,Coney Island (CD13),10.8,11.3,11,PM 2.5,365
Summer 2011,,314,6,Flatbush and Midwood (CD14),11.1,11.7,11.3,PM 2.5,365
Summer 2011,,315,6,Sheepshead Bay (CD15),10.8,11.4,11.1,PM 2.5,365
Summer 2011,,316,6,Brownsville (CD16),11.2,12.6,11.6,PM 2.5,365
Summer 2011,,317,6,East Flatbush (CD17),11.2,12,11.5,PM 2.5,365
Summer 2011,,318,6,Flatlands and Canarsie (CD18),10.6,11.8,11.1,PM 2.5,365
Summer 2011,,401,6,Long Island City and Astoria (CD1),10.7,12.3,11.6,PM 2.5,365
Summer 2011,,402,6,Woodside and Sunnyside (CD2),11.7,14.2,12.8,PM 2.5,365
Summer 2011,,403,6,Jackson Heights (CD3),10.9,11.5,11.2,PM 2.5,365
Summer 2011,,404,6,Elmhurst and Corona (CD4),11.2,12.2,11.6,PM 2.5,365
Summer 2011,,405,6,Ridgewood and Maspeth (CD5),10.8,13.2,11.6,PM 2.5,365
Summer 2011,,406,6,Rego Park and Forest Hills (CD6),11,12.2,11.5,PM 2.5,365
Summer 2011,,407,6,Flushing and Whitestone (CD7),10.7,12.1,11.3,PM 2.5,365
Summer 2011,,408,6,Hillcrest and Fresh Meadows (CD8),10.8,11.5,11.1,PM 2.5,365
Summer 2011,,409,6,Kew Gardens and Woodhaven (CD9),10.9,11.8,11.2,PM 2.5,365
Summer 2011,,410,6,South Ozone Park and Howard Beach (CD10),10.6,11.3,10.9,PM 2.5,365
Summer 2011,,411,6,Bayside and Little Neck (CD11),10.6,11.6,11,PM 2.5,365
Summer 2011,,412,6,Jamaica and Hollis (CD12),10.7,11.6,11.2,PM 2.5,365
Summer 2011,,413,6,Queens Village (CD13),10.6,11.2,10.8,PM 2.5,365
Summer 2011,,414,6,Rockaway and Broad Channel (CD14),10.5,10.7,10.6,PM 2.5,365
Summer 2011,,501,6,St. George and Stapleton (CD1),10.8,11.6,11.2,PM 2.5,365
Summer 2011,,502,6,South Beach and Willowbrook (CD2),10.7,11.9,11.2,PM 2.5,365
Summer 2011,,503,6,Tottenville and Great Kills (CD3),10.8,11.4,11,PM 2.5,365
Summer 2011,,1,1,Bronx,10.9,12.5,11.7,PM 2.5,365
Summer 2011,,2,1,Brooklyn,10.8,12.6,11.6,PM 2.5,365
Summer 2011,,3,1,Manhattan,11.6,14.7,12.9,PM 2.5,365
Summer 2011,,4,1,Queens,10.6,12,11.2,PM 2.5,365
Summer 2011,,5,1,Staten Island,10.8,11.6,11.1,PM 2.5,365
Summer 2011,,1,0,New York City,10.7,12.6,11.5,PM 2.5,365
Winter 2010,11,101,6,Financial District (CD1),14.3,15.2,14.8,PM 2.5,365
Winter 2010,11,102,6,Greenwich Village and Soho (CD2),13.9,15.1,14.6,PM 2.5,365
Winter 2010,11,103,6,Lower East Side and Chinatown (CD3),12.9,14.9,13.8,PM 2.5,365
Winter 2010,11,104,6,Clinton and Chelsea (CD4),13.8,16.3,15,PM 2.5,365
Winter 2010,11,105,6,Midtown (CD5),15.9,18,17,PM 2.5,365
Winter 2010,11,106,6,Stuyvesant Town and Turtle Bay (CD6),13.8,16.9,15.5,PM 2.5,365
Winter 2010,11,107,6,Upper West Side (CD7),14,14.7,14.3,PM 2.5,365
Winter 2010,11,108,6,Upper East Side (CD8),13.6,15.5,14.7,PM 2.5,365
Winter 2010,11,109,6,Morningside Heights and Hamilton Heights (CD9),14.3,14.6,14.5,PM 2.5,365
Winter 2010,11,110,6,Central Harlem (CD10),14.1,14.6,14.3,PM 2.5,365
Winter 2010,11,111,6,East Harlem (CD11),13.8,14.4,14.1,PM 2.5,365
Winter 2010,11,112,6,Washington Heights and Inwood (CD12),14,15.6,14.6,PM 2.5,365
Winter 2010,11,201,6,Mott Haven and Melrose (CD1),14.2,15.4,14.7,PM 2.5,365
Winter 2010,11,202,6,Hunts Point and Longwood (CD2),13,15.7,14.5,PM 2.5,365
Winter 2010,11,203,6,Morrisania and Crotona (CD3),13.9,14.7,14.3,PM 2.5,365
Winter 2010,11,204,6,Highbridge and Concourse (CD4),14.6,15.4,14.9,PM 2.5,365
Winter 2010,11,205,6,Fordham and University Heights (CD5),14.6,15.7,15,PM 2.5,365
Winter 2010,11,206,6,Belmont and East Tremont (CD6),13.8,15.1,14.4,PM 2.5,365
Winter 2010,11,207,6,Kingsbridge Heights and Bedford (CD7),13.9,14.8,14.3,PM 2.5,365
Winter 2010,11,208,6,Riverdale and Fieldston (CD8),13.7,14.7,14.1,PM 2.5,365
Winter 2010,11,209,6,Parkchester and Soundview (CD9),12.7,14.4,13.6,PM 2.5,365
Winter 2010,11,210,6,Throgs Neck and Co-op City (CD10),12.1,14.2,13.1,PM 2.5,365
Winter 2010,11,211,6,Morris Park and Bronxdale (CD11),13,13.6,13.4,PM 2.5,365
Winter 2010,11,212,6,Williamsbridge and Baychester (CD12),13,13.8,13.4,PM 2.5,365
Winter 2010,11,301,6,Greenpoint and Williamsburg (CD1),13.4,15.1,14.2,PM 2.5,365
Winter 2010,11,302,6,Fort Greene and Brooklyn Heights (CD2),13.2,14.5,13.8,PM 2.5,365
Winter 2010,11,303,6,Bedford Stuyvesant (CD3),12.4,13.5,12.9,PM 2.5,365
Winter 2010,11,304,6,Bushwick (CD4),12.1,13.9,12.8,PM 2.5,365
Winter 2010,11,305,6,East New York and Starrett City (CD5),11.6,13.5,12.3,PM 2.5,365
Winter 2010,11,306,6,Park Slope and Carroll Gardens (CD6),13.1,14.9,13.9,PM 2.5,365
Winter 2010,11,307,6,Sunset Park (CD7),12.6,14.6,13.6,PM 2.5,365
Winter 2010,11,308,6,Crown Heights and Prospect Heights (CD8),12.5,13.4,12.9,PM 2.5,365
Winter 2010,11,309,6,South Crown Heights and Lefferts Gardens (CD9),12.5,13,12.8,PM 2.5,365
Winter 2010,11,310,6,Bay Ridge and Dyker Heights (CD10),12,13.2,12.5,PM 2.5,365
Winter 2010,11,311,6,Bensonhurst (CD11),11.8,12.3,12,PM 2.5,365
Winter 2010,11,312,6,Borough Park (CD12),12.2,12.8,12.6,PM 2.5,365
Winter 2010,11,313,6,Coney Island (CD13),11.2,11.7,11.5,PM 2.5,365
Winter 2010,11,314,6,Flatbush and Midwood (CD14),12.1,13.1,12.5,PM 2.5,365
Winter 2010,11,315,6,Sheepshead Bay (CD15),11.1,12.1,11.6,PM 2.5,365
Winter 2010,11,316,6,Brownsville (CD16),12.3,13.6,12.7,PM 2.5,365
Winter 2010,11,317,6,East Flatbush (CD17),12.3,13.2,12.7,PM 2.5,365
Winter 2010,11,318,6,Flatlands and Canarsie (CD18),11.1,12.7,11.8,PM 2.5,365
Winter 2010,11,401,6,Long Island City and Astoria (CD1),12.5,13.6,13.1,PM 2.5,365
Winter 2010,11,402,6,Woodside and Sunnyside (CD2),12.8,15.3,14,PM 2.5,365
Winter 2010,11,403,6,Jackson Heights (CD3),12.2,12.7,12.4,PM 2.5,365
Winter 2010,11,404,6,Elmhurst and Corona (CD4),12.3,13.2,12.7,PM 2.5,365
Winter 2010,11,405,6,Ridgewood and Maspeth (CD5),11.7,14.2,12.6,PM 2.5,365
Winter 2010,11,406,6,Rego Park and Forest Hills (CD6),11.9,13.1,12.4,PM 2.5,365
Winter 2010,11,407,6,Flushing and Whitestone (CD7),12,13.5,12.6,PM 2.5,365
Winter 2010,11,408,6,Hillcrest and Fresh Meadows (CD8),11.8,12.5,12.1,PM 2.5,365
Winter 2010,11,409,6,Kew Gardens and Woodhaven (CD9),11.6,12.5,12,PM 2.5,365
Winter 2010,11,410,6,South Ozone Park and Howard Beach (CD10),11.1,12,11.5,PM 2.5,365
Winter 2010,11,411,6,Bayside and Little Neck (CD11),11.7,12.8,12.1,PM 2.5,365
Winter 2010,11,412,6,Jamaica and Hollis (CD12),11.4,12.4,11.8,PM 2.5,365
Winter 2010,11,413,6,Queens Village (CD13),11,11.8,11.4,PM 2.5,365
Winter 2010,11,414,6,Rockaway and Broad Channel (CD14),10.2,10.4,10.3,PM 2.5,365
Winter 2010,11,501,6,St. George and Stapleton (CD1),11.6,12.5,12,PM 2.5,365
Winter 2010,11,502,6,South Beach and Willowbrook (CD2),11.1,12.6,11.6,PM 2.5,365
Winter 2010,11,503,6,Tottenville and Great Kills (CD3),11,12.2,11.5,PM 2.5,365
Winter 2010,11,1,1,Bronx,12.9,14.9,13.8,PM 2.5,365
Winter 2010,11,2,1,Brooklyn,11.4,14,12.6,PM 2.5,365
Winter 2010,11,3,1,Manhattan,13.8,16.2,14.8,PM 2.5,365
Winter 2010,11,4,1,Queens,11.1,13.2,12.1,PM 2.5,365
Winter 2010,11,5,1,Staten Island,11.1,12.4,11.7,PM 2.5,365
Winter 2010,11,1,0,New York City,11.2,14.4,12.6,PM 2.5,365
Annual Average 2010,,101,6,Financial District (CD1),11.4,12.7,12.1,PM 2.5,365
Annual Average 2010,,102,6,Greenwich Village and Soho (CD2),10.3,12.3,11.6,PM 2.5,365
Annual Average 2010,,103,6,Lower East Side and Chinatown (CD3),9.4,12,10.6,PM 2.5,365
Annual Average 2010,,104,6,Clinton and Chelsea (CD4),10,13.9,11.9,PM 2.5,365
Annual Average 2010,,105,6,Midtown (CD5),13.8,17.1,15.5,PM 2.5,365
Annual Average 2010,,106,6,Stuyvesant Town and Turtle Bay (CD6),10.7,15.4,13.1,PM 2.5,365
Annual Average 2010,,107,6,Upper West Side (CD7),10.5,11.4,11,PM 2.5,365
Annual Average 2010,,108,6,Upper East Side (CD8),10.4,13,11.9,PM 2.5,365
Annual Average 2010,,109,6,Morningside Heights and Hamilton Heights (CD9),10.3,11.1,10.7,PM 2.5,365
Annual Average 2010,,110,6,Central Harlem (CD10),10.3,10.9,10.6,PM 2.5,365
Annual Average 2010,,111,6,East Harlem (CD11),10,10.8,10.4,PM 2.5,365
Annual Average 2010,,112,6,Washington Heights and Inwood (CD12),10,11.7,10.7,PM 2.5,365
Annual Average 2010,,201,6,Mott Haven and Melrose (CD1),10.4,11.5,10.9,PM 2.5,365
Annual Average 2010,,202,6,Hunts Point and Longwood (CD2),9.2,11.9,10.7,PM 2.5,365
Annual Average 2010,,203,6,Morrisania and Crotona (CD3),10.2,11,10.6,PM 2.5,365
